ID,Business Name,Category,City,Country,Phone,Email,Lead Score,Status,WhatsApp Direct Link,Email Subject,WhatsApp Pitch
"APX-0011","Emaar Properties PJSC","Real Estate Developer","Dubai","UAE","+971 4 366 1688","enquiry@emaar.ae","99","Ready for Outreach","https://wa.me/97143661688?text=Hi%20Emaar%20Properties%20PJSC%20Team!%20%F0%9F%91%8B%20We%20help%20luxury%20brands%20%26%20real%20estate%20developers%20in%20Dubai%20acquire%20high-net-worth%20buyers%20through%20hyper-targeted%20performance%20funnels%20(verified%204.8x%20ROAS).%20Are%20you%20looking%20to%20scale%20buyer%20acquisition%20this%20month%3F","High-Net-Worth Buyer Acquisition Funnel for Emaar Properties PJSC (Dubai)","Hi Emaar Properties PJSC Team! 👋 We help luxury brands & real estate developers in Dubai acquire high-net-worth buyers through hyper-targeted performance funnels (verified 4.8x ROAS). Are you looking to scale buyer acquisition this month?"
"APX-0012","DAMAC Properties Group","Luxury Real Estate Brokerage","Dubai","UAE","+971 4 373 1000","marketing@damacgroup.com","96","Ready for Outreach","https://wa.me/97143731000?text=Hi%20DAMAC%20Properties%20Group%20Team!%20%F0%9F%91%8B%20We%20help%20luxury%20brands%20%26%20real%20estate%20developers%20in%20Dubai%20acquire%20high-net-worth%20buyers%20through%20hyper-targeted%20performance%20funnels%20(verified%204.8x%20ROAS).%20Are%20you%20looking%20to%20scale%20buyer%20acquisition%20this%20month%3F","High-Net-Worth Buyer Acquisition Funnel for DAMAC Properties Group (Dubai)","Hi DAMAC Properties Group Team! 👋 We help luxury brands & real estate developers in Dubai acquire high-net-worth buyers through hyper-targeted performance funnels (verified 4.8x ROAS). Are you looking to scale buyer acquisition this month?"
"APX-0013","Haus & Haus Real Estate Dubai","Luxury Real Estate Agency","Dubai","UAE","+971 4 321 5650","leads@hausandhaus.com","94","Ready for Outreach","https://wa.me/97143215650?text=Hi%20Haus%20%26%20Haus%20Real%20Estate%20Dubai%20Team!%20%F0%9F%91%8B%20We%20help%20luxury%20brands%20%26%20real%20estate%20developers%20in%20Dubai%20acquire%20high-net-worth%20buyers%20through%20hyper-targeted%20performance%20funnels%20(verified%204.8x%20ROAS).%20Are%20you%20looking%20to%20scale%20buyer%20acquisition%20this%20month%3F","High-Net-Worth Buyer Acquisition Funnel for Haus & Haus Real Estate Dubai (Dubai)","Hi Haus & Haus Real Estate Dubai Team! 👋 We help luxury brands & real estate developers in Dubai acquire high-net-worth buyers through hyper-targeted performance funnels (verified 4.8x ROAS). Are you looking to scale buyer acquisition this month?"
"APX-0014","Harley Street Dental Clinic London","Dental & Cosmetic Medical Clinic","London","UK","+44 20 7486 1059","reception@harleystreetdentalclinic.co.uk","95","Ready for Outreach","https://wa.me/442074861059?text=Hello%20Harley%20Street%20Dental%20Clinic%20London%20Team!%20%F0%9F%91%8B%20We%20help%20private%20medical%20%26%20aesthetic%20clinics%20in%20London%20generate%2025-35%20high-ticket%20consultation%20bookings%20every%20month%20through%20automated%20search%20%26%20paid%20media%20funnels.%20Would%20you%20be%20open%20to%20a%202-minute%20breakdown%3F","Predictable High-Ticket Patient Acquisition for Harley Street Dental Clinic London (London)","Hello Harley Street Dental Clinic London Team! 👋 We help private medical & aesthetic clinics in London generate 25-35 high-ticket consultation bookings every month through automated search & paid media funnels. Would you be open to a 2-minute breakdown?"
"APX-0015","London Aesthetic Clinic Harley St","Aesthetic Medical Centre","London","UK","+44 20 7935 6554","info@londonaestheticclinic.com","93","Ready for Outreach","https://wa.me/442079356554?text=Hello%20London%20Aesthetic%20Clinic%20Harley%20St%20Team!%20%F0%9F%91%8B%20We%20help%20private%20medical%20%26%20aesthetic%20clinics%20in%20London%20generate%2025-35%20high-ticket%20consultation%20bookings%20every%20month%20through%20automated%20search%20%26%20paid%20media%20funnels.%20Would%20you%20be%20open%20to%20a%202-minute%20breakdown%3F","Predictable High-Ticket Patient Acquisition for London Aesthetic Clinic Harley St (London)","Hello London Aesthetic Clinic Harley St Team! 👋 We help private medical & aesthetic clinics in London generate 25-35 high-ticket consultation bookings every month through automated search & paid media funnels. Would you be open to a 2-minute breakdown?"
"APX-0016","VaynerMedia New York","Tech & Performance Agency","New York","USA","+1 212 254 4734","newbusiness@vaynermedia.com","98","Ready for Outreach","https://wa.me/12122544734?text=Hi%20VaynerMedia%20New%20York%20Marketing%20Team!%20%F0%9F%91%8B%20We%20help%20high-growth%20companies%20in%20New%20York%20scale%20revenue%20with%20high-speed%20web%20apps%2C%20AI%20automation%20bots%20%26%20performance%20marketing.%20Are%20you%20planning%20any%20major%20scaling%20pushes%20this%20quarter%3F","Growth Engineering & AI Performance Funnels for VaynerMedia New York","Hi VaynerMedia New York Marketing Team! 👋 We help high-growth companies in New York scale revenue with high-speed web apps, AI automation bots & performance marketing. Are you planning any major scaling pushes this quarter?"
"APX-0017","Nykaa E-Retail Private Limited","E-commerce & Fashion Retail","Mumbai","India","+91 22 6614 9696","corporate@nykaa.com","95","Ready for Outreach","https://wa.me/912266149696?text=Hi%20Nykaa%20E-Retail%20Private%20Limited%20Marketing%20Team!%20%F0%9F%91%8B%20We%20help%20high-growth%20companies%20in%20Mumbai%20scale%20revenue%20with%20high-speed%20web%20apps%2C%20AI%20automation%20bots%20%26%20performance%20marketing.%20Are%20you%20planning%20any%20major%20scaling%20pushes%20this%20quarter%3F","Growth Engineering & AI Performance Funnels for Nykaa E-Retail Private Limited","Hi Nykaa E-Retail Private Limited Marketing Team! 👋 We help high-growth companies in Mumbai scale revenue with high-speed web apps, AI automation bots & performance marketing. Are you planning any major scaling pushes this quarter?"
"APX-0018","boAt Lifestyle (Imagine Marketing)","Direct-to-Consumer Brand","Mumbai","India","+91 22 4946 1882","info@imaginemarketingindia.com","94","Ready for Outreach","https://wa.me/912249461882?text=Hi%20boAt%20Lifestyle%20(Imagine%20Marketing)%20Marketing%20Team!%20%F0%9F%91%8B%20We%20help%20high-growth%20companies%20in%20Mumbai%20scale%20revenue%20with%20high-speed%20web%20apps%2C%20AI%20automation%20bots%20%26%20performance%20marketing.%20Are%20you%20planning%20any%20major%20scaling%20pushes%20this%20quarter%3F","Growth Engineering & AI Performance Funnels for boAt Lifestyle (Imagine Marketing)","Hi boAt Lifestyle (Imagine Marketing) Marketing Team! 👋 We help high-growth companies in Mumbai scale revenue with high-speed web apps, AI automation bots & performance marketing. Are you planning any major scaling pushes this quarter?"
"APX-0019","BYJU's (Think & Learn Pvt Ltd)","Edtech Unicorn","Bangalore","India","+91 80 4671 6800","corporate@byjus.com","96","Ready for Outreach","https://wa.me/918046716800?text=Hi%20BYJU's%20(Think%20%26%20Learn%20Pvt%20Ltd)%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for BYJU's (Think & Learn Pvt Ltd) (Bangalore)","Hi BYJU's (Think & Learn Pvt Ltd) Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
"APX-0020","PhonePe Private Limited","Fintech Startup","Bangalore","India","+91 80 6872 7374","events@phonepe.com","95","Ready for Outreach","https://wa.me/918068727374?text=Hi%20PhonePe%20Private%20Limited%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for PhonePe Private Limited (Bangalore)","Hi PhonePe Private Limited Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
"APX-0021","Flipkart Internet Pvt Ltd","E-commerce Giant","Bangalore","India","+91 80 4654 3555","corporate.events@flipkart.com","97","Ready for Outreach","https://wa.me/918046543555?text=Hi%20Flipkart%20Internet%20Pvt%20Ltd%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for Flipkart Internet Pvt Ltd (Bangalore)","Hi Flipkart Internet Pvt Ltd Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
"APX-0022","Ola Electric Mobility Limited","Mobility Unicorn","Bangalore","India","+91 80 6127 6000","events@olaelectric.com","94","Ready for Outreach","https://wa.me/918061276000?text=Hi%20Ola%20Electric%20Mobility%20Limited%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for Ola Electric Mobility Limited (Bangalore)","Hi Ola Electric Mobility Limited Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
"APX-0023","Freshworks Inc","SaaS Unicorn","Bangalore","India","+91 44 6667 8000","marketing@freshworks.com","93","Ready for Outreach","https://wa.me/914466678000?text=Hi%20Freshworks%20Inc%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for Freshworks Inc (Bangalore)","Hi Freshworks Inc Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
"APX-0024","Practo Technologies Pvt Ltd","Health Tech","Bangalore","India","+91 80 4568 0070","events@practo.com","91","Ready for Outreach","https://wa.me/918045680070?text=Hi%20Practo%20Technologies%20Pvt%20Ltd%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for Practo Technologies Pvt Ltd (Bangalore)","Hi Practo Technologies Pvt Ltd Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
"APX-0025","MPL (Mobile Premier League)","Gaming & Tech","Bangalore","India","+91 80 6900 5555","brand@mpl.live","92","Ready for Outreach","https://wa.me/918069005555?text=Hi%20MPL%20(Mobile%20Premier%20League)%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for MPL (Mobile Premier League) (Bangalore)","Hi MPL (Mobile Premier League) Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
"APX-0026","SAP Labs India Pvt Ltd","Enterprise Software","Bangalore","India","+91 80 3967 8000","events.india@sap.com","95","Ready for Outreach","https://wa.me/918039678000?text=Hi%20SAP%20Labs%20India%20Pvt%20Ltd%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for SAP Labs India Pvt Ltd (Bangalore)","Hi SAP Labs India Pvt Ltd Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
"APX-0027","IBM India Pvt Ltd","Tech Enterprise","Bangalore","India","+91 80 4175 7000","india_events@ibm.com","94","Ready for Outreach","https://wa.me/918041757000?text=Hi%20IBM%20India%20Pvt%20Ltd%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for IBM India Pvt Ltd (Bangalore)","Hi IBM India Pvt Ltd Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
"APX-0028","Toyota Kirloskar Motor Pvt Ltd","EV & Automotive","Bangalore","India","+91 80 2295 6300","corporate@toyotabharat.com","90","Ready for Outreach","https://wa.me/918022956300?text=Hi%20Toyota%20Kirloskar%20Motor%20Pvt%20Ltd%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for Toyota Kirloskar Motor Pvt Ltd (Bangalore)","Hi Toyota Kirloskar Motor Pvt Ltd Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
